"Município";"Exercício";"Semestre";"Função de Governo";"Órgão Contratante";"Denominação/Destinação da Obra";"Endereço da Obra";"PPA (previsão)";"LDO (previsão)";"Meta Física Anual/Atendimento da População";"Valor Inicial Previsto";"Valor Total Contratado";"Nome da Empresa Contratada";"Data de Início da Obra";"V. Total dos Termos Aditivos";"Reajuste/Revisão do Contrato em %";"Nível de Execução Física";"Valor Total Pago";"Data Prevista para Conclusão";"Situação da Obra";"Data do Recebimento Definitivo";"Nome do Servidor Responsável";"Observações"
"Adamantina";"2015";"1";"Transporte";"Prefeitura do Município de Adamantina";"Recapeamento";"Av. Antonio Tiveron e Rotatória  Euclides Romanini";"sim";"sim";"";"R$ 305.696,32 ";"";"";"";"R$ 0,00 ";"0,00%";"0%";"R$ 0,00 ";"";"Outros";"";"Rodrigo Martins Gumiero";"Em Processo Licitatório"
"Adamantina";"2015";"1";"Urb./Habitação";"Prefeitura do Município de Adamantina";"Recapeamento";"Av. Capitão José Ant. de Oliveira e Av. Dep. Cunha Bueno";"sim";"sim";"33.000";"R$ 300.084,73 ";"R$ 298.621,04 ";"GP PAVIMENTAÇÃO LTDA";"";"R$ 0,00 ";"0,00%";"50%";"R$ 148.501,22 ";"";"Em andamento";"";"Rodrigo Martins Gumiero";""
"Adamantina";"2015";"1";"Saneamento";"Prefeitura do Município de Adamantina";"Reforma Canalização Córrego Caldeiras";"Córrego Caldeiras";"sim";"sim";"6.000";"R$ 70.341,39 ";"R$ 69.999,53 ";"CONSTRULIX-CONSTRUÇÃO,IND.COM.E SERV.";"20/03/2014";"R$ 0,00 ";"0,00%";"100%";"R$ 69.999,53 ";"";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Desporto e Lazer";"Prefeitura do Município de Adamantina";"Revitalização de 05 Praças públicas no Parque Res. Itamarati";"Parque Residencial Itamarati";"sim";"sim";"5.000";"R$ 105.000,00 ";"R$ 93.337,26 ";"KAENE CONSTRUTORA LTDA";"";"R$ 0,00 ";"0,00%";"14%";"R$ 12.727,40 ";"";"Outros";"";"Celso Kobori";"Cancelado o convênio/Devolução do Dinheiro"
"Adamantina";"2015";"1";"Educação";"Prefeitura do Município de Adamantina";"Reforma Cema III";"Rua Capitão Ferreira Pinto - Quadra H, Jd. Paulista";"sim";"sim";"10.000";"R$ 119.854,00 ";"R$ 117.442,24 ";"PAULISTA ENGENHARIA E CONSTRUÇÕES LTDA-ME";"16/05/2013";"R$ 14.285,91 ";"0,00%";"100%";"R$ 131.728,15 ";"31/12/2013";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Saúde";"Prefeitura do Município de Adamantina";"Ampliação do Centro de Saúde de Adamantina";"Av. Vitório Romanini, esq. c/ Rua Arno Kieffer";"sim";"sim";"10.000";"R$ 75.974,55 ";"R$ 75.974,55 ";"EMDA - Empresa Municipal de Desenvolvimento de Adamantina";"05/06/2013";"R$ 0,00 ";"0,00%";"100%";"R$ 75.974,55 ";"31/12/2014";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Urb./Habitação";"Prefeitura do Município de Adamantina";"Construção de Abas Laterais - Ponte sobre o Córrego Cald.";"Ponte sobre o Córrego dos Caldeiras";"sim";"sim";"15.000";"R$ 62.195,00 ";"R$ 62.000,00 ";"CONSTRULIX-CONSTRUÇÃO,IND.COM.E SERV.";"02/01/2013";"R$ 0,00 ";"0,00%";"100%";"R$ 62.000,00 ";"31/12/2014";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Urb./Habitação";"Prefeitura do Município de Adamantina";"Construção de Ponte sobre o Córrego dos Caldeiras";"Ponte sobre o Córrego dos Caldeiras";"sim";"sim";"15.000";"R$ 297.973,26 ";"R$ 296.789,76 ";"CONSTRULIX-CONSTRUÇÃO,IND.COM.E SERV.";"24/07/2012";"R$ 59.371,12 ";"0,00%";"100%";"R$ 356.160,88 ";"31/12/2013";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Educação";"Prefeitura do Município de Adamantina";"Construção de Creche Pro Infância";"Creche Pro Infância";"sim";"sim";"5.000";"R$ 619.999,03 ";"R$ 618.776,59 ";"LICORIO & LICORIO CONSTRUÇÕES LTDA - ME";"02/03/2012";"R$ 81.034,13 ";"0,00%";"90%";"R$ 699.810,72 ";"30/08/2014";"Concluída";"";"Celso Kobori";""
"Adamantina";"2015";"1";"Assistência Social";"Prefeitura do Município de Adamantina";"Construção Centro Comunitário no Pq.do Sol";"Centro Comunitário do Pq.do Sol";"sim";"sim";"1.000";"R$ 319.595,73 ";"R$ 289.981,09 ";"NSC TECNOLOGIA E CONSTRUÇÕES LTDA-EPP";"10/05/2012";"R$ 0,00 ";"0,00%";"100%";"R$ 289.981,09 ";"31/12/2013";"Concluída";"";"Celso Kobori";""
